Model,Scenario,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
DecisionTree,SMOTE_Only,3,0.8554924141779148,0.7860824742268041,0.7754342431761787,0.8054123711340206,0.7901390644753477
DecisionTree,SMOTE_Only,4,0.8426896787650122,0.7686855670103093,0.7410404624277457,0.8260309278350515,0.7812309567336989
DecisionTree,SMOTE_Only,5,0.8755513338293124,0.8009020618556701,0.7879161528976573,0.8234536082474226,0.8052930056710775
GBM,SMOTE_Only,1,0.9432425798405181,0.8673535093367676,0.8529048207663782,0.888030888030888,0.8701134930643127
GBM,SMOTE_Only,2,0.9301134552024658,0.8492268041237113,0.8528645833333334,0.8440721649484536,0.8484455958549223
GBM,SMOTE_Only,3,0.9297721928472739,0.8498711340206185,0.851228978007762,0.8479381443298969,0.8495803744351195
GBM,SMOTE_Only,4,0.9191407495483048,0.8318298969072165,0.8238993710691824,0.8440721649484536,0.8338637810311903
GBM,SMOTE_Only,5,0.9395500650972473,0.8666237113402062,0.8788282290279628,0.8505154639175257,0.8644400785854617
XGBoost,SMOTE_Only,1,0.9420244065862624,0.8641339343206696,0.8468137254901961,0.8893178893178894,0.8675455116133082
XGBoost,SMOTE_Only,2,0.9314104182166011,0.851159793814433,0.8507078507078507,0.8518041237113402,0.8512556342562781
XGBoost,SMOTE_Only,3,0.9274713704963332,0.8440721649484536,0.8405612244897959,0.8492268041237113,0.8448717948717949
XGBoost,SMOTE_Only,4,0.9212738468487618,0.8356958762886598,0.8260325406758448,0.8505154639175257,0.8380952380952381
XGBoost,SMOTE_Only,5,0.9414025135508556,0.8627577319587629,0.8689384010484927,0.854381443298969,0.8615984405458089
RandomForest,SMOTE_Only,1,0.9325136992662765,0.8602704443013522,0.8406326034063261,0.8893178893178894,0.8642901813633521
RandomForest,SMOTE_Only,2,0.918303784939951,0.8414948453608248,0.8414948453608248,0.8414948453608248,0.8414948453608248
RandomForest,SMOTE_Only,3,0.9095970281113828,0.8408505154639175,0.8404118404118404,0.8414948453608248,0.840952994204765
RandomForest,SMOTE_Only,4,0.8994969909129557,0.8279639175257731,0.8177278401997503,0.8440721649484536,0.8306911857958148
RandomForest,SMOTE_Only,5,0.9259111953980231,0.8550257731958762,0.8573281452658884,0.8518041237113402,0.8545572074983839
LogisticRegression,SMOTE_Only,1,0.8744659608061669,0.7933032839665164,0.7727272727272727,0.8314028314028314,0.800991940483571
LogisticRegression,SMOTE_Only,2,0.8596523275587205,0.7847938144329897,0.763095238095238,0.8260309278350515,0.7933168316831684
LogisticRegression,SMOTE_Only,3,0.8456373219789564,0.7615979381443299,0.7410926365795725,0.8041237113402062,0.7713226205191595
LogisticRegression,SMOTE_Only,4,0.8378082155383144,0.7557989690721649,0.7284234752589183,0.8157216494845361,0.7696048632218845
LogisticRegression,SMOTE_Only,5,0.869586300350728,0.7893041237113402,0.7831021437578815,0.8002577319587629,0.7915869980879541
SVC,SMOTE_Only,1,0.8967032201568284,0.8164842240824212,0.7928571428571428,0.8571428571428571,0.8237476808905381
SVC,SMOTE_Only,2,0.8921793628440854,0.8112113402061856,0.7927272727272727,0.8427835051546392,0.8169893816364772
SVC,SMOTE_Only,3,0.8694111024019556,0.7777061855670103,0.7550295857988165,0.8221649484536082,0.7871684145589143
SVC,SMOTE_Only,4,0.8667283319162504,0.782860824742268,0.7635054021608644,0.8195876288659794,0.7905531385954009
SVC,SMOTE_Only,5,0.898720639812945,0.8118556701030928,0.8025,0.8273195876288659,0.8147208121827412
NeuralNet,SMOTE_Only,1,0.8777182926667463,0.7881519639407598,0.7545454545454545,0.8545688545688546,0.8014484007242003
NeuralNet,SMOTE_Only,2,0.8731716308853226,0.7983247422680413,0.8002594033722439,0.7951030927835051,0.7976729153199742
NeuralNet,SMOTE_Only,3,0.8548107197895631,0.773840206185567,0.7652933832709113,0.7899484536082474,0.777425491439442
NeuralNet,SMOTE_Only,4,0.847175908704432,0.7615979381443299,0.75375,0.7770618556701031,0.7652284263959391
NeuralNet,SMOTE_Only,5,0.8812739132745245,0.7912371134020618,0.7973684210526316,0.7809278350515464,0.7890625
AdaBoost,SMOTE_Only,1,0.9255322148363385,0.8448164842240824,0.8213429256594724,0.8815958815958816,0.8504034761018001
AdaBoost,SMOTE_Only,2,0.9098544279413328,0.8228092783505154,0.805115712545676,0.8518041237113402,0.8278021289918598
AdaBoost,SMOTE_Only,3,0.9029552821766393,0.8137886597938144,0.7951515151515152,0.845360824742268,0.8194878201124297
AdaBoost,SMOTE_Only,4,0.897153822138378,0.803479381443299,0.7840772014475271,0.8376288659793815,0.8099688473520249
AdaBoost,SMOTE_Only,5,0.917103139281539,0.8311855670103093,0.8149509803921569,0.8569587628865979,0.835427135678392
LightGBM,SMOTE_Only,1,0.9433313099550213,0.8654217643271088,0.8471882640586798,0.8918918918918919,0.8689655172413793
